ds,y
2026-04-01 7:56:00,
2026-04-01 8:01:00,60
2026-04-01 8:06:00,75
2026-04-01 8:11:00,130
2026-04-01 8:16:00,125
2026-04-01 8:21:00,165
2026-04-01 8:26:00,165
2026-04-01 8:31:00,180
2026-04-01 8:36:00,180
2026-04-01 8:41:00,180
2026-04-01 8:46:00,180
2026-04-01 8:51:00,180
2026-04-01 8:56:00,180
2026-04-01 9:01:00,180
2026-04-01 9:06:00,180
2026-04-01 9:11:00,180
2026-04-01 9:16:00,180
2026-04-01 9:21:00,180
2026-04-01 9:26:00,180
2026-04-01 9:31:00,180
2026-04-01 9:36:00,180
2026-04-01 9:41:00,180
2026-04-01 9:46:00,180
2026-04-01 9:51:00,180
2026-04-01 9:56:00,180
2026-04-01 10:01:00,180
2026-04-01 10:06:00,165
2026-04-01 10:11:00,165
2026-04-01 10:16:00,165
2026-04-01 10:21:00,165
2026-04-01 10:26:00,165
2026-04-01 10:31:00,165
2026-04-01 10:36:00,135
2026-04-01 10:41:00,135
2026-04-01 10:46:00,135
2026-04-01 10:51:00,135
2026-04-01 10:56:00,135
2026-04-01 11:01:00,135
2026-04-01 11:06:00,135
2026-04-01 11:11:00,120
2026-04-01 11:16:00,120
2026-04-01 11:21:00,120
2026-04-01 11:26:00,120
2026-04-01 11:31:00,120
2026-04-01 11:36:00,120
2026-04-01 11:41:00,120
2026-04-01 11:46:00,120
2026-04-01 11:51:00,120
2026-04-01 11:56:00,120
2026-04-01 12:01:00,140
2026-04-01 12:06:00,165
2026-04-01 12:11:00,165
2026-04-01 12:16:00,165
2026-04-01 12:21:00,165
2026-04-01 12:26:00,165
2026-04-01 12:31:00,145
2026-04-01 12:36:00,145
2026-04-01 12:41:00,130
2026-04-01 12:46:00,130
2026-04-01 12:51:00,130
2026-04-01 12:56:00,130
2026-04-01 13:01:00,130
2026-04-01 13:06:00,130
2026-04-01 13:11:00,130
2026-04-01 13:16:00,130
2026-04-01 13:21:00,130
2026-04-01 13:26:00,130
2026-04-01 13:31:00,130
2026-04-01 13:36:00,130
2026-04-01 13:41:00,130
2026-04-01 13:46:00,130
2026-04-01 13:51:00,130
2026-04-01 13:56:00,130
2026-04-01 14:01:00,130
2026-04-01 14:06:00,130
2026-04-01 14:11:00,130
2026-04-01 14:16:00,130
2026-04-01 14:21:00,130
2026-04-01 14:26:00,130
2026-04-01 14:31:00,130
2026-04-01 14:36:00,130
2026-04-01 14:41:00,130
2026-04-01 14:46:00,130
2026-04-01 14:51:00,130
2026-04-01 14:56:00,130
2026-04-01 15:01:00,130
2026-04-01 15:06:00,130
2026-04-01 15:11:00,130
2026-04-01 15:16:00,130
2026-04-01 15:21:00,130
2026-04-01 15:26:00,130
2026-04-01 15:31:00,130
2026-04-01 15:36:00,130
2026-04-01 15:41:00,115
2026-04-01 15:46:00,115
2026-04-01 15:51:00,115
2026-04-01 15:56:00,115
2026-04-01 16:01:00,115
2026-04-01 16:06:00,115
2026-04-01 16:11:00,115
2026-04-01 16:16:00,115
2026-04-01 16:21:00,115
2026-04-01 16:26:00,115
2026-04-01 16:31:00,115
2026-04-01 16:36:00,115
2026-04-01 16:41:00,115
2026-04-01 16:46:00,115
2026-04-01 16:51:00,115
2026-04-01 16:56:00,115
2026-04-01 17:01:00,115
2026-04-01 17:06:00,115
2026-04-01 17:11:00,115
2026-04-01 17:16:00,115
2026-04-01 17:21:00,115
2026-04-01 17:26:00,125
2026-04-01 17:31:00,125
2026-04-01 17:36:00,125
2026-04-01 17:41:00,125
2026-04-01 17:46:00,125
2026-04-01 17:51:00,125
2026-04-01 17:56:00,125
2026-04-01 18:01:00,125
2026-04-01 18:06:00,125
2026-04-01 18:11:00,125
2026-04-01 18:16:00,125
2026-04-01 18:21:00,125
2026-04-01 18:26:00,125
2026-04-01 18:31:00,125
2026-04-01 18:36:00,125
2026-04-01 18:41:00,125
2026-04-01 18:46:00,125
2026-04-01 18:51:00,125
2026-04-01 18:56:00,125
2026-04-01 19:01:00,125
2026-04-01 19:06:00,125
2026-04-01 19:11:00,125
2026-04-01 19:16:00,125
2026-04-01 19:21:00,140
2026-04-01 19:26:00,140
2026-04-01 19:31:00,140
2026-04-01 19:36:00,140
2026-04-01 19:41:00,140
2026-04-01 19:46:00,140
2026-04-01 19:51:00,140
2026-04-01 19:56:00,140
2026-04-01 20:01:00,140
2026-04-01 20:06:00,120
2026-04-01 20:11:00,120
2026-04-01 20:16:00,120
2026-04-01 20:21:00,120
2026-04-01 20:26:00,120
2026-04-01 20:31:00,120
2026-04-01 20:36:00,120
2026-04-01 20:41:00,140
2026-04-01 20:46:00,140
2026-04-01 20:51:00,140
2026-04-01 20:56:00,140
2026-04-01 21:01:00,140
2026-04-01 21:06:00,140
2026-04-01 21:11:00,140
2026-04-01 21:16:00,140
2026-04-01 21:21:00,140
2026-04-01 21:26:00,140
2026-04-01 21:31:00,120
2026-04-01 21:36:00,120
2026-04-01 21:41:00,100
2026-04-01 21:46:00,100
2026-04-01 21:51:00,80
2026-04-01 21:56:00,80
2026-04-01 22:01:00,80
2026-04-01 22:06:00,
2026-04-02 7:56:00,
2026-04-02 8:01:00,
2026-04-02 8:06:00,60
2026-04-02 8:11:00,60
2026-04-02 8:16:00,120
2026-04-02 8:21:00,120
2026-04-02 8:26:00,160
2026-04-02 8:31:00,180
2026-04-02 8:36:00,200
2026-04-02 8:41:00,230
2026-04-02 8:46:00,230
2026-04-02 8:51:00,230
2026-04-02 8:56:00,230
2026-04-02 9:01:00,200
2026-04-02 9:06:00,200
2026-04-02 9:11:00,200
2026-04-02 9:16:00,200
2026-04-02 9:21:00,200
2026-04-02 9:26:00,200
2026-04-02 9:31:00,200
2026-04-02 9:36:00,200
2026-04-02 9:41:00,200
2026-04-02 9:46:00,200
2026-04-02 9:51:00,200
2026-04-02 9:56:00,200
2026-04-02 10:01:00,200
2026-04-02 10:06:00,200
2026-04-02 10:11:00,200
2026-04-02 10:16:00,200
2026-04-02 10:21:00,200
2026-04-02 10:26:00,200
2026-04-02 10:31:00,200
2026-04-02 10:36:00,200
2026-04-02 10:41:00,200
2026-04-02 10:46:00,200
2026-04-02 10:51:00,200
2026-04-02 10:56:00,200
2026-04-02 11:01:00,200
2026-04-02 11:06:00,200
2026-04-02 11:11:00,200
2026-04-02 11:16:00,200
2026-04-02 11:21:00,200
2026-04-02 11:26:00,200
2026-04-02 11:31:00,200
2026-04-02 11:36:00,200
2026-04-02 11:41:00,200
2026-04-02 11:46:00,200
2026-04-02 11:51:00,200
2026-04-02 11:56:00,200
2026-04-02 12:01:00,170
2026-04-02 12:06:00,170
2026-04-02 12:11:00,200
2026-04-02 12:16:00,200
2026-04-02 12:21:00,200
2026-04-02 12:26:00,200
2026-04-02 12:31:00,200
2026-04-02 12:36:00,200
2026-04-02 12:41:00,200
2026-04-02 12:46:00,200
2026-04-02 12:51:00,200
2026-04-02 12:56:00,200
2026-04-02 13:01:00,200
2026-04-02 13:06:00,200
2026-04-02 13:11:00,200
2026-04-02 13:16:00,200
2026-04-02 13:21:00,200
2026-04-02 13:26:00,220
2026-04-02 13:31:00,220
2026-04-02 13:36:00,220
2026-04-02 13:41:00,220
2026-04-02 13:46:00,220
2026-04-02 13:51:00,235
2026-04-02 13:56:00,235
2026-04-02 14:01:00,220
2026-04-02 14:06:00,220
2026-04-02 14:11:00,220
2026-04-02 14:16:00,220
2026-04-02 14:21:00,220
2026-04-02 14:26:00,190
2026-04-02 14:31:00,190
2026-04-02 14:36:00,190
2026-04-02 14:41:00,180
2026-04-02 14:46:00,180
2026-04-02 14:51:00,180
2026-04-02 14:56:00,180
2026-04-02 15:01:00,140
2026-04-02 15:06:00,140
2026-04-02 15:11:00,140
2026-04-02 15:16:00,140
2026-04-02 15:21:00,120
2026-04-02 15:26:00,110
2026-04-02 15:31:00,110
2026-04-02 15:36:00,110
2026-04-02 15:41:00,110
2026-04-02 15:46:00,110
2026-04-02 15:51:00,110
2026-04-02 15:56:00,110
2026-04-02 16:01:00,120
2026-04-02 16:06:00,135
2026-04-02 16:11:00,135
2026-04-02 16:16:00,145
2026-04-02 16:21:00,145
2026-04-02 16:26:00,145
2026-04-02 16:31:00,145
2026-04-02 16:36:00,145
2026-04-02 16:41:00,145
2026-04-02 16:46:00,145
2026-04-02 16:51:00,145
2026-04-02 16:56:00,145
2026-04-02 17:01:00,145
2026-04-02 17:06:00,145
2026-04-02 17:11:00,125
2026-04-02 17:16:00,125
2026-04-02 17:21:00,125
2026-04-02 17:26:00,125
2026-04-02 17:31:00,125
2026-04-02 17:36:00,125
2026-04-02 17:41:00,110
2026-04-02 17:46:00,110
2026-04-02 17:51:00,130
2026-04-02 17:56:00,130
2026-04-02 18:01:00,130
2026-04-02 18:06:00,130
2026-04-02 18:11:00,130
2026-04-02 18:16:00,130
2026-04-02 18:21:00,130
2026-04-02 18:26:00,120
2026-04-02 18:31:00,120
2026-04-02 18:36:00,120
2026-04-02 18:41:00,120
2026-04-02 18:46:00,110
2026-04-02 18:51:00,110
2026-04-02 18:56:00,100
2026-04-02 19:01:00,100
2026-04-02 19:06:00,100
2026-04-02 19:11:00,100
2026-04-02 19:16:00,100
2026-04-02 19:21:00,120
2026-04-02 19:26:00,120
2026-04-02 19:31:00,120
2026-04-02 19:36:00,140
2026-04-02 19:41:00,140
2026-04-02 19:46:00,140
2026-04-02 19:51:00,140
2026-04-02 19:56:00,140
2026-04-02 20:01:00,140
2026-04-02 20:06:00,130
2026-04-02 20:11:00,130
2026-04-02 20:16:00,130
2026-04-02 20:21:00,130
2026-04-02 20:26:00,130
2026-04-02 20:31:00,130
2026-04-02 20:36:00,130
2026-04-02 20:41:00,130
2026-04-02 20:46:00,130
2026-04-02 20:51:00,150
2026-04-02 20:56:00,150
2026-04-02 21:01:00,150
2026-04-02 21:06:00,150
2026-04-02 21:11:00,150
2026-04-02 21:16:00,150
2026-04-02 21:21:00,150
2026-04-02 21:26:00,120
2026-04-02 21:31:00,105
2026-04-02 21:36:00,105
2026-04-02 21:41:00,105
2026-04-02 21:46:00,90
2026-04-02 21:51:00,90
2026-04-02 21:56:00,75
2026-04-02 22:01:00,75
2026-04-02 22:06:00,
2026-04-03 7:56:00,
2026-04-03 8:01:00,60
2026-04-03 8:06:00,90
2026-04-03 8:11:00,90
2026-04-03 8:16:00,90
2026-04-03 8:21:00,120
2026-04-03 8:26:00,160
2026-04-03 8:31:00,160
2026-04-03 8:36:00,180
2026-04-03 8:41:00,180
2026-04-03 8:46:00,180
2026-04-03 8:51:00,180
2026-04-03 8:56:00,180
2026-04-03 9:01:00,180
2026-04-03 9:06:00,180
2026-04-03 9:11:00,180
2026-04-03 9:16:00,180
2026-04-03 9:21:00,220
2026-04-03 9:26:00,250
2026-04-03 9:31:00,250
2026-04-03 9:36:00,250
2026-04-03 9:41:00,250
2026-04-03 9:46:00,220
2026-04-03 9:51:00,220
2026-04-03 9:56:00,220
2026-04-03 10:01:00,220
2026-04-03 10:06:00,220
2026-04-03 10:11:00,200
2026-04-03 10:16:00,200
2026-04-03 10:21:00,180
2026-04-03 10:26:00,180
2026-04-03 10:31:00,180
2026-04-03 10:36:00,180
2026-04-03 10:41:00,180
2026-04-03 10:46:00,180
